"No","type","name","price","description","option_keyword","option_name","option_price"
"25","soups","Egg Drop Wonton Soup","5.25",,"Size","Quart","10"
"26","soups","Egg Drop Wonton Soup","5.25",,"Extra Wonton","Extra Wonton","2"
"27","soups","Subgum Wonton Soup","5.75","A Little Bit of everything chicken, beef, wontons and veggies","Size","Pint","6"
"28","soups","Subgum Wonton Soup","5.75","A Little Bit of everything chicken, beef, wontons and veggies","Size","Quart","10"
"29","soups","Subgum Wonton Soup","5.75","A Little Bit of everything chicken, beef, wontons and veggies","Extra Wonton","Extra Wonton","2"
"30","soups","Thai Chicken Noodle Soup","5.75","Angel Hair Rice Noodles With sliced Mushrooms, bamboo shoots, Scallions, And Chicken","Size","Pint","6"
"31","soups","Thai Chicken Noodle Soup","5.75","Angel Hair Rice Noodles With sliced Mushrooms, bamboo shoots, Scallions, And Chicken","Size","Quart","11"
"32","soups","Tofu Vegetable Soup","5.5",,"Size","Pint","6"
"33","soups","Tofu Vegetable Soup","5.5",,"Size","Quart","10"
"34","traditional_side_dishes","Fried Rice","8.99",,"Size","Small","9"
"35","traditional_side_dishes","Fried Rice","8.99",,"Size","Large","16"
"36","traditional_side_dishes","Fried Rice","8.99",,"Protein","Chicken","0"
"37","traditional_side_dishes","Fried Rice","8.99",,"Protein","Beef","0"
"38","traditional_side_dishes","Fried Rice","8.99",,"Protein","Tofu","0"
"39","traditional_side_dishes","Fried Rice","8.99",,"Protein","Vegetables","0"
"40","traditional_side_dishes","Fried Rice","8.99",,"Protein","Plain","0"
"41","traditional_side_dishes","Lo-mein","12.45",,"Size","Small","12"
"42","traditional_side_dishes","Lo-mein","12.45",,"Size","Large","19"
"43","traditional_side_dishes","Lo-mein","12.45",,"Protein","Chicken","0"
"44","traditional_side_dishes","Lo-mein","12.45",,"Protein","Beef","0"
"45","traditional_side_dishes","Lo-mein","12.45",,"Protein","Tofu","0"
"46","traditional_side_dishes","Lo-mein","12.45",,"Protein","Vegetables","0"
"47","traditional_side_dishes","Lo-mein","12.45",,"Protein","Plain","0"
"48","traditional_side_dishes","Chow Fun","12.45",,"Size","Small","12"
"49","traditional_side_dishes","Chow Fun","12.45",,"Size","Large","19"
"50","traditional_side_dishes","Chow Fun","12.45",,"Protein","Chicken","0"
"51","traditional_side_dishes","Chow Fun","12.45",,"Protein","Beef","0"
"52","traditional_side_dishes","Chow Fun","12.45",,"Protein","Tofu","0"
"53","traditional_side_dishes","Chow Fun","12.45",,"Protein","Vegetables","0"
"54","traditional_side_dishes","Chow Fun","12.45",,"Protein","Plain","0"
"55","traditional_side_dishes","Mei Fun","12.64",,"Size","Small","13"
"56","traditional_side_dishes","Mei Fun","12.64",,"Size","Large","19"
"57","traditional_side_dishes","Mei Fun","12.64",,"Protein","Chicken","0"
"58","traditional_side_dishes","Mei Fun","12.64",,"Protein","Beef","0"
"59","traditional_side_dishes","Mei Fun","12.64",,"Protein","Tofu","0"
"60","traditional_side_dishes","Mei Fun","12.64",,"Protein","Vegetables","0"
"61","traditional_side_dishes","Mei Fun","12.64",,"Protein","Plain","0"
"62","traditional_side_dishes","Thai Fried Rice","9.99",,"Size","Small","10"
"63","traditional_side_dishes","Thai Fried Rice","9.99",,"Size","Large","16"
"64","traditional_side_dishes","Thai Fried Rice","9.99",,"Protein","Chicken","0"
"65","traditional_side_dishes","Thai Fried Rice","9.99",,"Protein","Beef","0"
"66","traditional_side_dishes","Thai Fried Rice","9.99",,"Protein","Tofu","0"
"67","traditional_side_dishes","Thai Fried Rice","9.99",,"Protein","Vegetables","0"
"68","traditional_side_dishes","Thai Fried Rice","9.99",,"Protein","Plain","0"
"69","chinese_dishes","With Broccoli","15.5",,"Size","Small","16"
"70","chinese_dishes","With Broccoli","15.5",,"Size","Large","24"
"71","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Brown Rice","0"
"72","chinese_dishes","With Broccoli","15.5",,"Preparation Option","No Rice","0"
"73","chinese_dishes","With Broccoli","15.5",,"Preparation Option","No Msg","0"
"74","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Extra Sauce","0"
"75","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Extra Spicy","0"
"76","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Mild","0"
"77","chinese_dishes","With Broccoli","15.5",,"Preparation Option","No sauce","0"
"78","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Extra Sauce","0"
"79","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Steamed","0"
"80","chinese_dishes","With Broccoli","15.5",,"Preparation Option","Low Sodium","0"
"81","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Eggplant","0"
"82","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Brocolli","0"
"83","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Snow Peas","0"
"84","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"85","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Scallions","0"
"86","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Baby Corn","0"
"87","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Nappa","0"
"88","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Letuce","0"
"89","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","String Beans","0"
"90","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Carrots","0"
"91","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Peas","0"
"92","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Mushrooms","0"
"93","chinese_dishes","With Broccoli","15.5",,"Chineese Vegetables","Bell Peppers","0"
"94","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Eggplant","0"
"95","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Broccoli","0"
"96","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Snow Peas","0"
"97","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Bamboo Shoots","0"
"98","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Scallions","0"
"99","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Baby Corn","0"
"100","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Nappa Cabbage","0"
"101","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Lettuce","0"
"102","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No String Beans","0"
"103","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Carrots","0"
"104","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Peas","0"
"105","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Mushrooms","0"
"106","chinese_dishes","With Broccoli","15.5",,"No Chinese Vegetables","No Bell Peppers","0"
"107","chinese_dishes","With Broccoli","15.5",,"Protein","Chicken","0"
"108","chinese_dishes","With Broccoli","15.5",,"Protein","Beef","2"
"109","chinese_dishes","With Broccoli","15.5",,"Protein","Tofu","0"
"110","chinese_dishes","With Broccoli","15.5",,"Protein","Vegetables Only","0"
"111","chinese_dishes","With Broccoli","15.5",,"Protein","Extra Chicken","3"
"112","chinese_dishes","With Broccoli","15.5",,"Protein","Extra Beef","4"
"113","chinese_dishes","With Broccoli","15.5",,"Protein","Mix Chicken and Beef","2"
"114","chinese_dishes","With Eggplants","15.5",,"Size","Small","16"
"115","chinese_dishes","With Eggplants","15.5",,"Size","Large","24"
"116","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Brown Rice","0"
"117","chinese_dishes","With Eggplants","15.5",,"Preparation Option","No Rice","0"
"118","chinese_dishes","With Eggplants","15.5",,"Preparation Option","No Msg","0"
"119","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Extra Sauce","0"
"120","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Extra Spicy","0"
"121","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Mild","0"
"122","chinese_dishes","With Eggplants","15.5",,"Preparation Option","No sauce","0"
"123","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Extra Sauce","0"
"124","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Steamed","0"
"125","chinese_dishes","With Eggplants","15.5",,"Preparation Option","Low Sodium","0"
"126","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Eggplant","0"
"127","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Brocolli","0"
"128","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Snow Peas","0"
"129","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"130","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Scallions","0"
"131","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Baby Corn","0"
"132","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Nappa","0"
"133","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Letuce","0"
"134","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","String Beans","0"
"135","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Carrots","0"
"136","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Peas","0"
"137","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Mushrooms","0"
"138","chinese_dishes","With Eggplants","15.5",,"Chineese Vegetables","Bell Peppers","0"
"139","chinese_dishes","With Eggplants","15.5",,"Protein","Chicken","0"
"140","chinese_dishes","With Eggplants","15.5",,"Protein","Beef","2"
"141","chinese_dishes","With Eggplants","15.5",,"Protein","Tofu","0"
"142","chinese_dishes","With Eggplants","15.5",,"Protein","Vegetables Only","0"
"143","chinese_dishes","With Eggplants","15.5",,"Protein","Extra Chicken","3"
"144","chinese_dishes","With Eggplants","15.5",,"Protein","Extra Beef","4"
"145","chinese_dishes","With Eggplants","15.5",,"Protein","Mix Chicken and Beef","2"
"146","chinese_dishes","With Mixed Vegetables","15.5",,"Size","Small","16"
"147","chinese_dishes","With Mixed Vegetables","15.5",,"Size","Large","24"
"148","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Brown Rice","0"
"149","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","No Rice","0"
"150","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","No Msg","0"
"151","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Extra Sauce","0"
"152","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Extra Spicy","0"
"153","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Mild","0"
"154","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","No sauce","0"
"155","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Extra Sauce","0"
"156","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Steamed","0"
"157","chinese_dishes","With Mixed Vegetables","15.5",,"Preparation Option","Low Sodium","0"
"158","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Chicken","0"
"159","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Beef","2"
"160","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Tofu","0"
"161","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Vegetables Only","0"
"162","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Extra Chicken","2"
"163","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Extra Beef","4"
"164","chinese_dishes","With Mixed Vegetables","15.5",,"Protein Options","Mix Chicken and Beef","2"
"165","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Eggplant","0"
"166","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Brocolli","0"
"167","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Snow Peas","0"
"168","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"169","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Scallions","0"
"170","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Baby Corn","0"
"171","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Nappa","0"
"172","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Letuce","0"
"173","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","String Beans","0"
"174","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Carrots","0"
"175","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Peas","0"
"176","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Mushrooms","0"
"177","chinese_dishes","With Mixed Vegetables","15.5",,"Chineese Vegetables","Bell Peppers","0"
"178","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Chicken","0"
"179","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Beef","2"
"180","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Tofu","0"
"181","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Vegetables Only","0"
"182","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Extra Chicken","3"
"183","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Extra Beef","4"
"184","chinese_dishes","With Mixed Vegetables","15.5",,"Protein","Mix Chicken and Beef","2"
"185","chinese_dishes","Moo Shoo Style","15.5",,"Size","Small","16"
"186","chinese_dishes","Moo Shoo Style","15.5",,"Size","Large","24"
"187","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Brown Rice","0"
"188","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","No Rice","0"
"189","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","No Msg","0"
"190","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Extra Sauce","0"
"191","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Extra Spicy","0"
"192","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Mild","0"
"193","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","No sauce","0"
"194","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Extra Sauce","0"
"195","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Steamed","0"
"196","chinese_dishes","Moo Shoo Style","15.5",,"Preparation Option","Low Sodium","0"
"197","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Chicken","0"
"198","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Beef","2"
"199","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Tofu","0"
"200","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Vegetables Only","0"
"201","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Extra Chicken","2"
"202","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Extra Beef","4"
"203","chinese_dishes","Moo Shoo Style","15.5",,"Protein Options","Mix Chicken and Beef","2"
"204","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Eggplant","0"
"205","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Brocolli","0"
"206","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Snow Peas","0"
"207","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"208","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Scallions","0"
"209","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Baby Corn","0"
"210","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Nappa","0"
"211","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Letuce","0"
"212","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","String Beans","0"
"213","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Carrots","0"
"214","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Peas","0"
"215","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Mushrooms","0"
"216","chinese_dishes","Moo Shoo Style","15.5",,"Chineese Vegetables","Bell Peppers","0"
"217","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Chicken","0"
"218","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Beef","2"
"219","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Tofu","0"
"220","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Vegetables Only","0"
"221","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Extra Chicken","3"
"222","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Extra Beef","4"
"223","chinese_dishes","Moo Shoo Style","15.5",,"Protein","Mix Chicken and Beef","2"
"224","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Size","Small","16"
"225","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Size","Large","24"
"226","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Brown Rice","0"
"227","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","No Rice","0"
"228","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","No Msg","0"
"229","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Extra Sauce","0"
"230","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Extra Spicy","0"
"231","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Mild","0"
"232","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","No sauce","0"
"233","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Extra Sauce","0"
"234","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Steamed","0"
"235","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Preparation Option","Low Sodium","0"
"236","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Chicken","0"
"237","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Beef","2"
"238","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Tofu","0"
"239","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Vegetables Only","0"
"240","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Extra Chicken","2"
"241","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Extra Beef","4"
"242","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein Options","Mix Chicken and Beef","2"
"243","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Eggplant","0"
"244","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Brocolli","0"
"245","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Snow Peas","0"
"246","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"247","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Scallions","0"
"248","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Baby Corn","0"
"249","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Nappa","0"
"250","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Letuce","0"
"251","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","String Beans","0"
"252","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Carrots","0"
"253","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Peas","0"
"254","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Mushrooms","0"
"255","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Chineese Vegetables","Bell Peppers","0"
"256","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Chicken","0"
"257","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Beef","2"
"258","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Tofu","0"
"259","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Vegetables Only","0"
"260","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Extra Chicken","3"
"261","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Extra Beef","4"
"262","chinese_dishes","Steamed Chicken With Mixed Vegetables S","15.5",,"Protein","Mix Chicken and Beef","2"
"263","chinese_dishes","Pepper Steak S","15.5",,"Size","Small","16"
"264","chinese_dishes","Pepper Steak S","15.5",,"Size","Large","24"
"265","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Brown Rice","0"
"266","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","No Rice","0"
"267","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","No Msg","0"
"268","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Extra Sauce","0"
"269","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Extra Spicy","0"
"270","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Mild","0"
"271","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","No sauce","0"
"272","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Extra Sauce","0"
"273","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Steamed","0"
"274","chinese_dishes","Pepper Steak S","15.5",,"Preparation Option","Low Sodium","0"
"275","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Chicken","0"
"276","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Beef","2"
"277","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Tofu","0"
"278","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Vegetables Only","0"
"279","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Extra Chicken","2"
"280","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Extra Beef","4"
"281","chinese_dishes","Pepper Steak S","15.5",,"Protein Options","Mix Chicken and Beef","2"
"282","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Eggplant","0"
"283","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Brocolli","0"
"284","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Snow Peas","0"
"285","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Bamboo Shoots","0"
"286","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Scallions","0"
"287","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Baby Corn","0"
"288","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Nappa","0"
"289","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Letuce","0"
"290","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","String Beans","0"
"291","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Carrots","0"
"292","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Peas","0"
"293","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Mushrooms","0"
"294","chinese_dishes","Pepper Steak S","15.5",,"Chineese Vegetables","Bell Peppers","0"
"295","chinese_dishes","Pepper Steak S","15.5",,"Protein","Chicken","0"
"296","chinese_dishes","Pepper Steak S","15.5",,"Protein","Beef","2"
"297","chinese_dishes","Pepper Steak S","15.5",,"Protein","Tofu","0"
"298","chinese_dishes","Pepper Steak S","15.5",,"Protein","Vegetables Only","0"
"299","chinese_dishes","Pepper Steak S","15.5",,"Protein","Extra Chicken","3"
"300","chinese_dishes","Pepper Steak S","15.5",,"Protein","Extra Beef","4"
"301","chinese_dishes","Pepper Steak S","15.5",,"Protein","Mix Chicken and Beef","2"
"302","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Size","Small","16"
"303","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Size","Large","24"
"304","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","Brown Rice","0"
"305","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","No Rice","0"
"306","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","No Msg","0"
"307","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","Extra Sauce","0"
"308","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","Extra Spicy","0"
"309","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","Mild","0"
"310","chinese_dishes","Sichuan S","15.5","Chicken With Onions Carrots Bell Peppers and Celery In an extra Spicy Sichuan sauce","Preparation Option","No sauce","0"
