category,title,subtitle,single_price,image_urls,details,directions
 Poultry,Perdue Ground Turkey,5 lb • $0.25/oz,$19.99 ,http://95.217.130.223:9000/instacart-product-images/large_8032e7ca-27f9-4391-b6e3-49d1a71b6b0d.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,Small Cut Chicken Wings,About 40.0 lb each • $2.99 / lb (About 40.0 lb each)Final cost by weight,$119.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_3770b04e-2e2e-446d-815a-6603b9d1c9da.jpg,-,-
 Poultry,Godshall's Bacon Turkey Slab,About 6.0 lb / package • $3.99 / lb (About 6.0 lb / package)Final cost by weight,$23.94 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_972593e1-0b69-4420-8ec6-344276c5c6c6.jpeg,-,-
 Poultry,Frozen Chicken Gizzards,About 40.0 lb each • $1.19 / lb (About 40.0 lb each)Final cost by weight,$47.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_f88400e9-e0a2-4913-9459-ea88bc640517.jpg,-,-
 Poultry,Cvp 45-50 Count Whole Backs Removed Chicken Jumbo Leg,About 40.0 lb each • $1.29 / lb (About 40.0 lb each)Final cost by weight,$51.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_b67339f3-b27f-4513-8a65-6709e8ca8b52.jpg,-,-
 Poultry,Godshall's Maple Turkey Bacon,About 6.0 lb / package • $4.99 / lb (About 6.0 lb / package)Final cost by weight,$29.94 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_e0878e7f-4632-49db-92ef-89f3e4984c21.jpg,-,-
 Poultry,Raw Ground Turkey,5 lb • $0.31/oz,$24.99 ,http://95.217.130.223:9000/instacart-product-images/large_d210db22-4fe1-46c5-87a4-4a1a2c7c53fe.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,R/W Halal Fresh Jumbo Party Chicken Wings,About 40.0 lb each • $3.39 / lb (About 40.0 lb each)Final cost by weight,$135.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_a15a206c-a4bd-4fe9-b361-92856164d5a9.jpg,-,-
 Poultry,Halal Chicken Party Wings,About 40.0 lb each • $3.69 / lb (About 40.0 lb each)Final cost by weight,$147.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_71a747a6-08a4-44c4-9f7d-495a7cfb42e8.jpg,-,-
 Poultry,Always Fresh 1/4 S R/W Chicken Jumbo Leg,About 40.0 lb / package • $0.79 / lb (About 40.0 lb / package)Final cost by weight,$31.60 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_7b3f1cc9-5f21-4c94-a70d-c0d35f43d599.jpg,-,-
 Poultry,Red & White 3.5 Pounds Average Whole Chicken With Giblet,About 45.0 lb each • $1.79 / lb (About 45.0 lb each)Final cost by weight,$80.55 each (est.),http://95.217.130.223:9000/instacart-product-images/large_e7a2bed1-6657-4f28-bd0d-e8bdc1088776.jpg,-,-
 Poultry,Grade A Fully Trimmed Boneless Chicken Breast,10 lb • $0.17/oz,$27.99 ,http://95.217.130.223:9000/instacart-product-images/large_04a50ab2-9ed8-4ede-b926-88cf5c1257dc.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,Always Fresh Chicken Drumsticks,About 40.0 lb each • $0.61 / lb (About 40.0 lb each)Final cost by weight,$24.40 each (est.),http://95.217.130.223:9000/instacart-product-images/large_15dda483-1db6-44e8-990d-a6dce3e2bb93.png,-,-
 Poultry,GV Halal Chicken Fritter,10 lb • $0.28/oz,$44.99 ,http://95.217.130.223:9000/instacart-product-images/large_65a67224-e76d-4fbf-b4f3-5c792643f0a9.png,-,-
 Poultry,Always Jumbo Fresh & Tender Chicken,About 40.0 lb / package • $2.99 / lb (About 40.0 lb / package)Final cost by weight,$119.60 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_7e8cf70f-30ff-4564-ba6a-7a4ea57db6e1.jpg,-,-
 Poultry,Perdue White Meat Turkey Burgers,5.33 oz • $10.13/oz,$53.99 ,http://95.217.130.223:9000/instacart-product-images/large_d8eb0154-e69b-4a72-9abc-82961fbacb1d.png,-,-
 Poultry,Godshall's Natural Applewood Smoked Turkey Bacon,5 oz • $6.60/oz,$32.99 ,http://95.217.130.223:9000/instacart-product-images/large_4b196171-e476-4a93-bf05-deb718ca8c9f.jpeg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,Tyson Italian Chicken Breast Fillet,4.7 oz • $15.53/oz,$72.99 ,http://95.217.130.223:9000/instacart-product-images/large_4e2e784d-a452-4f50-a1c2-7c9338107012.jpg,-,-
 Poultry,Martin’s Specialty Sausage Company Raw Turkey Sausage Patty,1 each,$79.99 ,http://95.217.130.223:9000/instacart-product-images/large_a73b3e88-a94d-47d6-bf55-637a7d514f6d.png,-,-
 Poultry,R/W Frozen Tom Turkey V Wings,About 30.0 lb / package • $3.49 / lb (About 30.0 lb / package)Final cost by weight,$104.70 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_10e7956a-1588-40be-8cd8-0b4041799fce.png,-,-
 Poultry,Tyson Cornish Hen Spice,About 2.0 lb / package • $3.49 / lb (About 2.0 lb / package)Final cost by weight,$6.98 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_8bca397a-ded6-47d1-bf9b-8b4ddcad668d.png,-,-
 Poultry,8 Ounce Chic Airline Br,About 40.0 lb each • $4.99 / lb (About 40.0 lb each)Final cost by weight,$199.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_72ed5031-2856-4e3d-91d2-fa7a006f216a.jpg,-,-
 Poultry,"Godshall's 5"" Hotel Sliced Turkey Bacon",1 each,$26.99 ,http://95.217.130.223:9000/instacart-product-images/large_893c38bc-1621-42ce-8bff-25ee3c4ebc34.jpeg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,Zabiha 1/4 Halal Chicken Legs,About 40.0 lb each • $2.99 / lb (About 40.0 lb each)Final cost by weight,$119.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_49fb173b-aa6e-4bff-bc02-6b0e80473364.jpg,-,-
 Poultry,Always Fresh Bone In Whole Chicken Breasts,About 40.0 lb each • $2.99 / lb (About 40.0 lb each)Final cost by weight,$119.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_a4497cad-215d-4348-beaa-2fb8a04d4144.jpg,-,-
 Poultry,Chicken 8 Piece Cut,About 7.0 lb each • $3.99 / lb (About 7.0 lb each)Final cost by weight,$27.93 each (est.),http://95.217.130.223:9000/instacart-product-images/large_3f216b8e-e6ad-461b-a939-9156c8e721d4.jpg,-,-
 Poultry,Big C Diced Chicken Breast,10 lb • $0.40/oz,$63.99 ,http://95.217.130.223:9000/instacart-product-images/large_aa029222-84c2-4f25-87ab-251297014f14.png,-,-
 Poultry,Frozen Veal Bones,About 25.0 lb each • $2.39 / lb (About 25.0 lb each)Final cost by weight,$59.75 each (est.),http://95.217.130.223:9000/instacart-product-images/large_749f77e4-14e1-414b-869e-257624b389ec.jpg,-,-
 Poultry,Whole Chicken With Giblets,About 55.0 lb each • $1.79 / lb (About 55.0 lb each)Final cost by weight,$98.45 each (est.),http://95.217.130.223:9000/instacart-product-images/large_686e06d0-5042-4768-bd40-803d6cc32915.jpg,-,-
 Poultry,Martin’s Specialty Sausage Fresh Turkey Burger,10 lb • $0.33/oz,$52.99 ,http://95.217.130.223:9000/instacart-product-images/large_69f93059-4e52-44b1-a4ec-3176b9c7de2e.png,-,-
 Poultry,Halal Certified Fresh Boneless Chicken Leg Meat,About 40.0 lb / package • $1.99 / lb (About 40.0 lb / package)Final cost by weight,$79.60 /pkg (est.),http://95.217.130.223:9000/instacart-product-images/large_317fd3e0-fb71-4f09-bb10-7cd9624977b8.png,-,-
 Fresh vegetables,JAMES FARM 2 LB IQF BROCCOLI FLORETS,2 lb • $0.12/oz,$3.99 ,http://95.217.130.223:9000/instacart-product-images/large_8ce424ec-64d5-4e74-b9fd-f4c9404a4211.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Iceberg Lettuce,1 each,$1.49 ,http://95.217.130.223:9000/instacart-product-images/large_f4d5d4fa-d22c-47f8-8e77-1a9e526e5fe2.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Baby Corn,1 each,$9.99 ,http://95.217.130.223:9000/instacart-product-images/large_8aae92f9-d596-4d6a-973f-cd6d58e49a43.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Tomato,5 lb • $0.09/oz,$6.99 ,http://95.217.130.223:9000/instacart-product-images/large_2999ce26-f365-49d1-ac2d-fd4027c76c8c.jpg,-,-
 Fresh vegetables,"1/8"" Bagged Shredded Lettuce",5 lb • $0.10/oz,$7.99 ,http://95.217.130.223:9000/instacart-product-images/large_62061e4e-1873-47bf-a25f-681b515a6365.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,JAMES FARM 1 LB EDAMAME IN POD,1 lb • $0.17/oz,$2.69 ,http://95.217.130.223:9000/instacart-product-images/large_3215ad32-2e27-4be7-92c5-65e7b3921ca9.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,TOMATO ROMA 5 LB UNIT,5 lb • $0.09/oz,$6.99 ,http://95.217.130.223:9000/instacart-product-images/large_f622ccac-9a7f-49cc-aca0-0bf3c7a35429.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Italian Parsley,6 count bag,$5.99 ,http://95.217.130.223:9000/instacart-product-images/large_47d98f6d-9f59-451d-ab12-c7fde88bcc37.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Red Grape Tomato,per lb,$1.49 ,http://95.217.130.223:9000/instacart-product-images/large_85320f0e-0478-47df-a84a-5d1e18a7d37c.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Straight Neck Squash,19 lb • $0.06/oz,$16.99 ,http://95.217.130.223:9000/instacart-product-images/large_c27cd6e6-e218-44da-9b9a-7993015306aa.png,-,-
 Fresh vegetables,Jumbo Sweet Potato (Yam),40 lb • $0.04/oz,$24.99 ,http://95.217.130.223:9000/instacart-product-images/large_4a83cdbb-fa5b-4a0c-b11c-27910675048f.png,-,-
 Fresh vegetables,"Russet Potato - 50 lb Bag, 6oz Min, US #2",50 lb • $0.03/oz,$21.99 ,http://95.217.130.223:9000/instacart-product-images/large_ee1c4464-bfbe-48b5-9d81-12ec2f355138.png,-,-
 Fresh vegetables,Taylor Farms Lettuce Spinach,2.5 lb • $0.15/oz,$5.99 ,http://95.217.130.223:9000/instacart-product-images/large_e8f9fd39-791d-48cd-8822-de6ec655c28c.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Green Squash (Zucchini) - 24 lbs,24 lb • $0.03/oz,$12.99 ,http://95.217.130.223:9000/instacart-product-images/large_c45e7ba7-b225-4e56-9e3a-00d61d1a3bb2.jpg,-,-
 Fresh vegetables,Organic Spring Mix,2 ct • $6.00 each,$11.99 ,http://95.217.130.223:9000/instacart-product-images/large_cfcd7570-3587-49b0-bc9f-1b55ee449e02.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Medium Mushroom,10 lb • $0.15/oz,$23.99 ,http://95.217.130.223:9000/instacart-product-images/large_7530adac-53ac-4483-b972-c4aee916e009.jpg,-,-
 Fresh vegetables,Yellow Squash,1 each,$5.99 ,http://95.217.130.223:9000/instacart-product-images/large_9452cfda-5ab5-4780-a88b-3fc0b54247ea.png,-,-
 Fresh vegetables,Red Onion,25 lb case,$22.99 ,http://95.217.130.223:9000/instacart-product-images/large_d3796b0c-d39b-4e77-b1b4-fac9a781259f.png,-,-
 Fresh vegetables,Baby Arugula,3 lb bag,$19.99 ,http://95.217.130.223:9000/instacart-product-images/large_3930c07a-ac57-4319-9146-63fc33db3dc5.jpg,-,-
 Fresh vegetables,Bagged Shredded Carrot,5 lb • $0.15/oz,$11.99 ,http://95.217.130.223:9000/instacart-product-images/large_2b9d9abc-85c3-4261-862c-d971640a3795.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,PRODUCE HABANERO 1LB UNIT,1 lb • $0.37/oz,$5.99 ,http://95.217.130.223:9000/instacart-product-images/large_20a0533a-a912-453c-aa2a-2eddec9e250e.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Jalapeno Pepper,5 lb • $0.10/oz,$7.99 ,http://95.217.130.223:9000/instacart-product-images/large_8ce7dd17-160d-45b9-a4ae-81df60f74858.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Jumbo Yellow Onions - 50 lbs,50 lb • $0.03/oz,$24.99 ,http://95.217.130.223:9000/instacart-product-images/large_1108e1bd-aa97-4c47-b03b-830eefd3b584.png,-,-
 Fresh vegetables,Turmeric Root,1 each,$5.99 ,http://95.217.130.223:9000/instacart-product-images/large_bd912c5d-2a84-4e29-b8ee-b13ea1238890.jpg,-,-
 Fresh vegetables,Ginger Root,4 lb • $0.20/oz,$12.99 ,http://95.217.130.223:9000/instacart-product-images/large_7b40ac26-5b14-4f3a-ba09-e8f535d653bb.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Red Bell Pepper,5 lb • $0.15/oz,$11.99 ,http://95.217.130.223:9000/instacart-product-images/large_df32fb81-62c2-4a3d-a8f5-1b040290ab47.jpg,-,-
 Fresh vegetables,Bag Cucumbers,,$4.99 ,http://95.217.130.223:9000/instacart-product-images/large_23f5e3bc-5540-4a02-a1b4-05976dc04b12.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,PRODUCE - MICROGREENS RAINBOW MIX,case,$19.99 ,http://95.217.130.223:9000/instacart-product-images/large_7a3d684c-9b4e-4646-bf9f-5f970671affd.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Ssp Peeled Garlic,5 lb • $0.37/oz,$29.99 ,http://95.217.130.223:9000/instacart-product-images/large_acbc082a-697f-4bdb-bee1-7b2be815f334.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Iceless Green Onions,2 lb • $0.50/oz,$15.99 ,http://95.217.130.223:9000/instacart-product-images/large_b8f54d8e-7d3f-414f-bdbd-3824116e76cb.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Zucchini,3 lb • $0.08/oz,$3.99 ,http://95.217.130.223:9000/instacart-product-images/large_8509c612-4637-47b0-af2b-2b30f20523a6.png,-,-
 Fresh vegetables,Yellow Onion,10 lb bag,$9.99 ,http://95.217.130.223:9000/instacart-product-images/large_82a5122f-253a-452f-ab96-3890b16632d7.png,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Sweet Onion,10 lb • $0.06/oz,$9.99 ,http://95.217.130.223:9000/instacart-product-images/large_7d20410b-a5b8-439b-a605-0509b178ab3b.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,"Seedless cucumber, hot house, 12 ct",12 ct • $1.92 each,$22.99 ,http://95.217.130.223:9000/instacart-product-images/large_15cb6225-13d6-4158-8740-08e7f61e0615.png,-,-
 Fresh vegetables,Pure Flavor Extra Sweet Mini Peppers,1 lb • $0.19/oz,$2.99 ,http://95.217.130.223:9000/instacart-product-images/large_030a83cd-765c-4b51-88d2-ff24d826d03e.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Fresh vegetables,Yukon Gold Potato Bag,10 lb bag,$7.99 ,http://95.217.130.223:9000/instacart-product-images/large_f252673b-a6c1-40c4-94a1-4e033f9911e8.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Best Sellers,Sunset 16 Ounce Clear Cups,50 ct • 20 ct,$6.99 ,http://95.217.130.223:9000/instacart-product-images/large_56ba2b5e-0af2-4b31-af08-b64edcefc4bf.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Best Sellers,"Morton Salt, Iodized",26 oz • $0.14/oz,$3.69 ,"http://95.217.130.223:9000/instacart-product-images/large_4ea5bbdd-5a1e-4fa8-b0e7-df2a46bdafbb.png, http://95.217.130.223:9000/instacart-product-images/large_94eac438-a9d3-4484-a401-179d64817559.png, http://95.217.130.223:9000/instacart-product-images/large_afee1ce0-6275-42bb-a652-b8ea97cd15cd.png",Please note this product is for 1 unit. Please see promotion to purchase case price.,Open here.
 Best Sellers,Dole 100% Pineapple Juice,6 fl oz • $5.00/fl oz,$29.99 ,"http://95.217.130.223:9000/instacart-product-images/large_83043c43-3b59-4374-8ceb-a9020137eec2.png, http://95.217.130.223:9000/instacart-product-images/large_603b2175-84e8-40ff-b57b-81ab30458773.png, http://95.217.130.223:9000/instacart-product-images/large_c943f3f7-776b-49a2-8adb-e96f31e03c9b.png","100% pineapple juice. With added vitamins A, C & E. Live Well: excellent source of vitamin C; good source of vitamins A & E; no added sugar (Not a low or reduced calorie food. See nutrition facts for further information on sugar and calorie content); BPA-free packaging; gluten free. Non GMO Project verified. nongmoproject.org. Not from concentrate. Satisfaction guaranteed. Call 1-800-232-8888. dolepineapplejuice.com. Connect with us (at)dolesunshine. Visit dolepineapplejuice.com for delicious recipes. Please recycle. Product of the Philippines. We've peeled the fruit. Now all you need to do is peel back the lid for delicious nutrition.,  ; Vitamin C is an antioxidant that helps promote a healthy immune system. Who knew vitamins were so delicious?,  ; It's our promise to provide everyone, everywhere with good nutrition!,  ; Great by itself, as a topping or in your favorite recipe. In the world of fruit, we call that a ""triple play."" ,  , • Full of Sunshine,  , • We Believe in Sunshine for All.™",Chill and shake well before serving.
 Best Sellers,"Dole Pineapple Juice, Can",46 fl oz • $0.11/fl oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_f9fcbd92-83ea-41c7-9b31-434aed3b7bbb.png, http://95.217.130.223:9000/instacart-product-images/large_23b8b499-db2c-48ba-8e75-cb85e1802e99.png, http://95.217.130.223:9000/instacart-product-images/large_ac550285-52ef-44e8-be89-61ceffdff66a.png",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Healthier Helpful Hints. Marinades: Use in place of oil., Best served chilled., After opening, refrigerate contents in glass or plastic container., Shake well before serving."
 Best Sellers,"Dole Pineapple Juice, Can",46 fl oz • $0.11/fl oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_f9fcbd92-83ea-41c7-9b31-434aed3b7bbb.png, http://95.217.130.223:9000/instacart-product-images/large_23b8b499-db2c-48ba-8e75-cb85e1802e99.png, http://95.217.130.223:9000/instacart-product-images/large_ac550285-52ef-44e8-be89-61ceffdff66a.png",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Healthier Helpful Hints. Marinades: Use in place of oil., Best served chilled., After opening, refrigerate contents in glass or plastic container., Shake well before serving."
 Best Sellers,"Dole Pineapple Juice, Can",46 fl oz • $0.11/fl oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_f9fcbd92-83ea-41c7-9b31-434aed3b7bbb.png, http://95.217.130.223:9000/instacart-product-images/large_23b8b499-db2c-48ba-8e75-cb85e1802e99.png, http://95.217.130.223:9000/instacart-product-images/large_ac550285-52ef-44e8-be89-61ceffdff66a.png",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Healthier Helpful Hints. Marinades: Use in place of oil., Best served chilled., After opening, refrigerate contents in glass or plastic container., Shake well before serving."
 Best Sellers,"Dole Pineapple Juice, Can",46 fl oz • $0.11/fl oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_f9fcbd92-83ea-41c7-9b31-434aed3b7bbb.png, http://95.217.130.223:9000/instacart-product-images/large_23b8b499-db2c-48ba-8e75-cb85e1802e99.png, http://95.217.130.223:9000/instacart-product-images/large_ac550285-52ef-44e8-be89-61ceffdff66a.png",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Healthier Helpful Hints. Marinades: Use in place of oil., Best served chilled., After opening, refrigerate contents in glass or plastic container., Shake well before serving."
